Asset #,Source,Asset Title,URL,Content Type,License,License URL,Suggested Learning Objective,Difficulty Level,Duration,Assessment Availability,Visual/Interactive Tags,Priority,Notes
1,AHIMA Foundation,Health Information Technology (OER Hub),https://www.ahimafoundation.org/education/educational-resources/,OER Hub,Proprietary (free-to-access),https://www.ahima.org/legal-disclaimer/terms-of-use/,"Describe HIT systems, EHR workflow, ICD coding, and HIPAA compliance requirements",Vocational,Variable 5-15 hrs,Some assessments,"Video, Interactive",1,⚠️ PROPRIETARY – free educator resources; AHIMA-aligned; HIM vocational credential track
2,BCcampus,Basic Kitchen and Food Service Management,https://opentextbc.ca/basickitchenandfoodservicemanagement/,Textbook,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Apply kitchen math, food cost control, and food service operations management",Vocational,~20 hrs,No formal assessment,"Recipes, Management charts",1,CC BY; BCcampus; comprehensive culinary management OER
3,BCcampus,"Food Safety, Sanitation, and Personal Hygiene",https://opentextbc.ca/foodsafety/,Textbook,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Apply HACCP principles and food safety protocols to prevent foodborne illness,Vocational,~10 hrs,No formal assessment,"Tables, Diagrams, Photos",1,CC BY; BCcampus; aligns with ServSafe standards
4,BCcampus OER,Environmental Biology,https://openoregon.pressbooks.pub/envirobiology/,Textbook,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Explain ecological principles, biodiversity, climate change, and human impact",Intro,~20 hrs,No formal assessments,"Illustrations, Diagrams",1,CC BY; college-level intro; widely remixed
5,CISA,CISA Cybersecurity Training Catalog,https://www.cisa.gov/resources-tools/programs/free-cybersecurity-services-and-tools,OER Hub,Public Domain (U.S. Gov),https://www.cisa.gov/accessibility,Identify cyber threats and implement NIST Cybersecurity Framework controls,Vocational,Variable 2-8 hrs,Some modules have quizzes,"Interactive tools, Videos",1,U.S. Government public domain; NIST CSF aligned; free for all
6,Google / Coursera,Google Cybersecurity Certificate (audit),https://www.coursera.org/professional-certificates/google-cybersecurity,Course (audit),Proprietary (audit free),https://www.coursera.org/about/terms,"Apply Python, Linux, SQL, and SIEM tools to cybersecurity analyst job tasks",Vocational,~26 weeks,Yes – auto-graded; certificate paid,"Video, Interactive labs",1,⚠️ PROPRIETARY – audit free; Google-backed; job-ready 8-course path
7,Kaggle Learn,Intro to Machine Learning (Python),https://www.kaggle.com/learn/intro-to-machine-learning,Micro-course,Apache 2.0 / CC BY,https://www.kaggle.com/terms,Train and validate decision tree and random forest models in Python,Intermediate,~3 hrs,Yes – auto-graded interactive notebooks,Interactive notebooks,1,Fully browser-based; certificate on completion; highly practical
8,Kaggle Learn,Intermediate Machine Learning,https://www.kaggle.com/learn/intermediate-machine-learning,Micro-course,Apache 2.0 / CC BY,https://www.kaggle.com/terms,"Handle missing values, encoding, pipelines, XGBoost, and model validation",Intermediate,~4 hrs,Yes – auto-graded,Interactive notebooks,1,Follows Intro to ML; fast path to Kaggle competitions
9,Kaggle Learn,Data Visualization (Python),https://www.kaggle.com/learn/data-visualization,Micro-course,Apache 2.0 / CC BY,https://www.kaggle.com/terms,Create seaborn charts for data storytelling,Intro,~4 hrs,Yes – auto-graded,"Interactive notebooks, Visual examples",1,CC BY content; practical supplement to OpenStax Data Science Ch 9
10,Kaggle Learn,Pandas (Data Manipulation),https://www.kaggle.com/learn/pandas,Micro-course,Apache 2.0 / CC BY,https://www.kaggle.com/terms,Manipulate and aggregate tabular data using pandas DataFrames,Intro,~4 hrs,Yes – auto-graded,Interactive notebooks,1,CC BY content; foundational for all Python data science tracks
