Source Platform,Asset Title,URL,Content Type,License Name,License URL,Suggested Learning Objective,Difficulty Level,Est. Duration,Assessment Availability,Visual/Interactive Tags,Priority (1-3),Notes
OpenStax,Calculus Volume 1,https://openstax.org/books/calculus-volume-1/pages/1-introduction,Textbook,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Understand limits, derivatives, and integrals through worked examples",Intro,~30 hrs,Yes – instructor test banks; auto-gradable via WebAssign,"Diagrams, Graphs",1,Peer-reviewed; Ch 1-5 ideal micro-unit split; partner HW available
OpenStax,Calculus Volume 2,https://openstax.org/books/calculus-volume-2/pages/1-introduction,Textbook,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Apply integration techniques and series to real-world problems,Intermediate,~30 hrs,Yes – instructor test banks,"Diagrams, Graphs",1,Peer-reviewed; follows Calc 1; recommended clips: Ch 1-4
OpenStax,Algebra and Trigonometry 2e,https://openstax.org/books/algebra-and-trigonometry-2e/pages/1-introduction-to-prerequisites,Textbook,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Solve algebraic and trigonometric equations for STEM pre-requisites,Intro,~25 hrs,Yes – instructor test banks,Diagrams,1,Peer-reviewed; solid pre-calculus foundation
OpenStax,Introductory Statistics 2e,https://openstax.org/books/introductory-statistics-2e/pages/1-introduction,Textbook,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Interpret statistical data and apply probability concepts,Intro,~25 hrs,Yes – instructor test banks,"Graphs, Charts",1,Peer-reviewed; includes labs; Nexus Depth Engine can scaffold
OpenStax,University Physics Vol. 1 (Mechanics),https://openstax.org/books/university-physics-volume-1/pages/1-introduction,Textbook,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Apply Newtonian mechanics to solve force and energy problems,Intro,~30 hrs,Yes – instructor test banks,"Diagrams, Illustrations",1,Peer-reviewed; pair with PhET simulations for labs
OpenStax,University Physics Vol. 2 (E&M),https://openstax.org/books/university-physics-volume-2/pages/1-introduction,Textbook,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Analyze electric and magnetic fields and circuits,Intermediate,~30 hrs,Yes – instructor test banks,Diagrams,1,Peer-reviewed; critical for electrical trade track
OpenStax,University Physics Vol. 3 (Modern),https://openstax.org/books/university-physics-volume-3/pages/1-introduction,Textbook,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Explain wave optics, quantum mechanics, and modern physics",Advanced,~25 hrs,Yes – instructor test banks,Diagrams,2,Peer-reviewed; optics chapter useful for photonics track
OpenStax,College Physics 2e,https://openstax.org/books/college-physics-2e/pages/1-introduction-the-nature-of-science-and-physics,Textbook,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Apply physics principles in algebra-based real-world contexts,Intro,~30 hrs,Yes – instructor test banks,"Diagrams, Photos",1,Peer-reviewed; lighter math than University Physics
OpenStax,Chemistry 2e,https://openstax.org/books/chemistry-2e/pages/1-introduction,Textbook,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Explain chemical bonding, reactions, and stoichiometry",Intro,~30 hrs,Yes – instructor test banks,Molecular diagrams,1,Peer-reviewed; strong visual supplements
OpenStax,Biology 2e,https://openstax.org/books/biology-2e/pages/1-introduction,Textbook,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Describe cell biology, genetics, and evolution principles",Intro,~35 hrs,Yes – instructor test banks,"Illustrations, Photos",1,Peer-reviewed; widely adopted in community colleges
OpenStax,Anatomy and Physiology 2e,https://openstax.org/books/anatomy-and-physiology-2e/pages/1-introduction,Textbook,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Identify human body systems and their physiological functions,Intro,~40 hrs,Yes – instructor test banks,"Illustrations, 3D diagrams",1,Peer-reviewed; essential for healthcare/nursing vocational track
OpenStax,Principles of Accounting Vol. 1 (Financial),https://openstax.org/books/principles-financial-accounting/pages/1-why-it-matters,Textbook,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Prepare financial statements using GAAP principles,Intro,~25 hrs,Yes – instructor test banks,"Tables, Charts",1,Peer-reviewed; aligns with CPA exam prep
OpenStax,Principles of Accounting Vol. 2 (Managerial),https://openstax.org/books/principles-managerial-accounting/pages/1-why-it-matters,Textbook,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Apply cost analysis and budgeting for managerial decisions,Intermediate,~25 hrs,Yes – instructor test banks,"Charts, Spreadsheets",1,Peer-reviewed; build on Vol. 1
OpenStax,Principles of Economics 3e,https://openstax.org/books/principles-economics-3e/pages/1-introduction,Textbook,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Analyze supply-demand equilibria and macroeconomic policy,Intro,~30 hrs,Yes – instructor test banks,"Graphs, Charts",1,Peer-reviewed; best split: Ch 1-9 micro / Ch 10+ macro
OpenStax,Introduction to Business,https://openstax.org/books/introduction-business/pages/1-introduction,Textbook,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Describe core business functions: marketing, finance, operations",Intro,~20 hrs,Yes – instructor test banks,"Infographics, Photos",1,Peer-reviewed; good onboarding for business track
OpenStax,Entrepreneurship,https://openstax.org/books/entrepreneurship/pages/1-introduction,Textbook,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Develop a business plan and evaluate startup feasibility,Intermediate,~20 hrs,Yes – instructor test banks,Case studies,2,Peer-reviewed; project-based learning ready
OpenStax,Organizational Behavior,https://openstax.org/books/organizational-behavior/pages/1-introduction,Textbook,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Apply motivation and leadership theories to workplace scenarios,Intermediate,~20 hrs,Yes – instructor test banks,Case studies,1,Peer-reviewed
OpenStax,Introduction to Python Programming,https://openstax.org/books/introduction-python-programming/pages/1-introduction,Textbook,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Write Python scripts for data processing and automation,Intro,~20 hrs,Yes – instructor test banks,Code examples,1,Peer-reviewed; 2024 title; Nexus-ready CS intro
OpenStax,Foundations of Information Systems,https://openstax.org/books/foundations-information-systems/pages/preface,Textbook,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Explain IS architecture including databases, networks, and security",Intro,~20 hrs,Yes – instructor test banks,Diagrams,1,ACM/IEEE IS2020 aligned; ABET/AACSB accreditation ready
OpenStax,American Government 4e,https://openstax.org/books/american-government-4e/pages/preface,Textbook,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,Explain the structure and function of the U.S. federal government,Intro,~25 hrs,Yes – instructor test banks,"Photos, Maps",2,⚠️ NC/SA FLAG – non-commercial only; otherwise high quality
OpenStax,Microbiology,https://openstax.org/books/microbiology/pages/1-introduction,Textbook,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Identify microbial pathogens and describe infection control practices,Intermediate,~30 hrs,Yes – instructor test banks,Microscopy photos,1,Peer-reviewed; key for healthcare vocational track
